counter,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
272,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.34397284722223,3872,33.61436048611111,807,SOLD OUT,SOLD OUT
273,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.38564685185185,3873,33.57268648148148,806,SOLD OUT,SOLD OUT
274,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.42731778935186,3874,33.53101554398148,805,SOLD OUT,SOLD OUT
275,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.4689767361111,3875,33.48935659722222,804,SOLD OUT,SOLD OUT
276,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.51063993055556,3876,33.44769340277778,803,SOLD OUT,SOLD OUT
277,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.55231653935186,3877,33.40601679398148,802,SOLD OUT,SOLD OUT
278,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.59397976851852,3878,33.36435356481481,801,SOLD OUT,SOLD OUT
279,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.6356460763889,3879,33.32268725694444,800,SOLD OUT,SOLD OUT
280,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.6773077662037,3880,33.28102556712963,799,SOLD OUT,SOLD OUT
281,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.7189776388889,3881,33.23935569444444,798,SOLD OUT,SOLD OUT
282,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.76064177083333,3882,33.1976915625,797,SOLD OUT,SOLD OUT
283,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.80234672453705,3883,33.1559866087963,796,SOLD OUT,SOLD OUT
284,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.84397759259258,3884,33.11435574074074,795,SOLD OUT,SOLD OUT
285,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.88564819444446,3885,33.072685138888886,794,SOLD OUT,SOLD OUT
286,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.92732197916666,3886,33.031011354166665,793,SOLD OUT,SOLD OUT
287,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,161.9689855324074,3887,32.98934780092593,792,SOLD OUT,SOLD OUT
288,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.0106421527778,3888,32.94769118055556,791,SOLD OUT,SOLD OUT
289,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.05231850694443,3889,32.90601482638889,790,SOLD OUT,SOLD OUT
290,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.0939830902778,3890,32.864350243055554,789,SOLD OUT,SOLD OUT
291,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.1356544212963,3891,32.822678912037034,788,SOLD OUT,SOLD OUT
292,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.17731995370372,3892,32.78101337962963,787,SOLD OUT,SOLD OUT
293,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.21898829861112,3893,32.73934503472222,786,SOLD OUT,SOLD OUT
294,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.26065944444446,3894,32.697673888888886,785,SOLD OUT,SOLD OUT
295,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.30231988425925,3895,32.656013449074074,784,SOLD OUT,SOLD OUT
296,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.34399982638888,3896,32.61433350694445,783,SOLD OUT,SOLD OUT
297,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.38566349537038,3897,32.57266983796296,782,SOLD OUT,SOLD OUT
298,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.42732875,3898,32.531004583333335,781,SOLD OUT,SOLD OUT
299,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.4689890625,3899,32.489344270833335,780,SOLD OUT,SOLD OUT
300,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.5106621412037,3900,32.44767119212963,779,SOLD OUT,SOLD OUT
301,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,162.55236423611112,3901,32.405969097222226,778,SOLD OUT,SOLD OUT
